ID_CIDADAO,NR_CPF_CIDADAO,NM_CIDADAO,NR_TELEFONE,DS_EMAIL,DT_NASCIMENTO
1,70000001001,Bruno Silva,11970010001,bruno.silva1@urbiq.com.br,1993-09-07
2,70000002002,Ana Paula Santos,11970020002,ana.paula.santos2@urbiq.com.br,1969-12-30
3,70000003003,Carlos Oliveira,11970030003,carlos.oliveira3@urbiq.com.br,1966-02-14
4,70000004004,Beatriz Souza,11970040004,beatriz.souza4@urbiq.com.br,1998-04-07
5,70000005005,Daniel Rodrigues,11970050005,daniel.rodrigues5@urbiq.com.br,1977-05-04
6,70000006006,Camila Ferreira,11970060006,camila.ferreira6@urbiq.com.br,1975-12-27
7,70000007007,Eduardo Alves,11970070007,eduardo.alves7@urbiq.com.br,1975-01-06
8,70000008008,Diana Pereira,11970080008,diana.pereira8@urbiq.com.br,1971-04-06
9,70000009009,Felipe Lima,11970090009,felipe.lima9@urbiq.com.br,1998-01-14
10,70000010010,Elisa Gomes,11970100010,elisa.gomes10@urbiq.com.br,1969-08-07
11,70000011011,Gustavo Costa,11970110011,gustavo.costa11@urbiq.com.br,1995-05-11
12,70000012012,Fernanda Ribeiro,11970120012,fernanda.ribeiro12@urbiq.com.br,1998-03-24
13,70000013013,Henrique Martins,11970130013,henrique.martins13@urbiq.com.br,1989-06-19
14,70000014014,Gabriela Carvalho,11970140014,gabriela.carvalho14@urbiq.com.br,1968-11-25
15,70000015015,Igor Fernandes,11970150015,igor.fernandes15@urbiq.com.br,1991-06-28
16,70000016016,Helena Dias,11970160016,helena.dias16@urbiq.com.br,1983-12-05
17,70000017017,João Barros,11970170017,joao.barros17@urbiq.com.br,1966-06-05
18,70000018018,Isabela Nascimento,11970180018,isabela.nascimento18@urbiq.com.br,1966-05-04
19,70000019019,Kleber Monteiro,11970190019,kleber.monteiro19@urbiq.com.br,1969-03-16
20,70000020020,Juliana Cardoso,11970200020,juliana.cardoso20@urbiq.com.br,1974-10-23
21,70000021021,Leonardo Rocha,11970210021,leonardo.rocha21@urbiq.com.br,1975-06-09
22,70000022022,Karina Mendes,11970220022,karina.mendes22@urbiq.com.br,1987-09-02
23,70000023023,Márcio Araújo,11970230023,marcio.araojo23@urbiq.com.br,1992-01-03
24,70000024024,Laura Castro,11970240024,laura.castro24@urbiq.com.br,1966-03-11
25,70000025025,Nicolas Tavares,11970250025,nicolas.tavares25@urbiq.com.br,1990-03-06
26,70000026026,Mariana Silva,11970260026,mariana.silva26@urbiq.com.br,1973-12-02
27,70000027027,Orlando Santos,11970270027,orlando.santos27@urbiq.com.br,1997-02-13
28,70000028028,Natália Oliveira,11970280028,natalia.oliveira28@urbiq.com.br,1994-02-25
29,70000029029,Pedro Souza,11970290029,pedro.souza29@urbiq.com.br,1996-06-17
30,70000030030,Olivia Rodrigues,11970300030,olivia.rodrigues30@urbiq.com.br,1989-06-12
31,70000031031,Rafael Ferreira,11970310031,rafael.ferreira31@urbiq.com.br,1983-10-27
32,70000032032,Priscila Alves,11970320032,priscila.alves32@urbiq.com.br,1974-11-21
33,70000033033,Sandro Pereira,11970330033,sandro.pereira33@urbiq.com.br,1985-02-24
34,70000034034,Renata Lima,11970340034,renata.lima34@urbiq.com.br,1991-06-08
35,70000035035,Thiago Gomes,11970350035,thiago.gomes35@urbiq.com.br,1977-06-24
36,70000036036,Sabrina Costa,11970360036,sabrina.costa36@urbiq.com.br,1965-04-17
37,70000037037,Ubiratan Ribeiro,11970370037,ubiratan.ribeiro37@urbiq.com.br,1999-01-15
38,70000038038,Tatiana Martins,11970380038,tatiana.martins38@urbiq.com.br,1972-02-29
39,70000039039,Victor Carvalho,11970390039,victor.carvalho39@urbiq.com.br,1996-04-26
40,70000040040,Vanessa Fernandes,11970400040,vanessa.fernandes40@urbiq.com.br,1983-12-17
41,70000041041,Wellington Dias,11970410041,wellington.dias41@urbiq.com.br,1980-04-06
42,70000042042,Wanessa Barros,11970420042,wanessa.barros42@urbiq.com.br,1977-06-19
43,70000043043,Xavier Nascimento,11970430043,xavier.nascimento43@urbiq.com.br,1971-12-23
44,70000044044,Yasmin Monteiro,11970440044,yasmin.monteiro44@urbiq.com.br,1974-08-29
45,70000045045,Rodrigo Cardoso,11970450045,rodrigo.cardoso45@urbiq.com.br,1999-04-02
46,70000046046,Amanda Rocha,11970460046,amanda.rocha46@urbiq.com.br,1980-02-06
47,70000047047,Fábio Mendes,11970470047,fabio.mendes47@urbiq.com.br,1969-08-02
48,70000048048,Claudia Araújo,11970480048,claudia.araojo48@urbiq.com.br,1969-02-28
49,70000049049,Diego Castro,11970490049,diego.castro49@urbiq.com.br,1982-01-16
50,70000050050,Débora Tavares,11970500050,debora.tavares50@urbiq.com.br,1969-05-04
